Ticker,YahooTicker,Nom,Zone,AnneeFiscale,DateRapport,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,PER_calcule,ROE_calcule,ROA_calcule,DebtToEquity_calcule,EPS,EOD_Close_Price,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,Dividendes_Annuels,Annual_Volume_Traded
AKAM,AKAM,AKAM,USA,2023,2023-12-31,Technology,Software - Infrastructure,United States,0.682,17629243745.72754,150832000.0,32.557102299002224,0.11912345787775265,0.05531585387004109,0.25729855831730153,3.59,116.87999725341797,547629000.0,3811920000.0,4597155000.0,9900037000.0,4535979000.0,,389832300.0
AKAM,AKAM,AKAM,USA,2022,2022-12-31,Technology,Software - Infrastructure,United States,0.682,13360852931.9458,157242000.0,25.826748091399125,0.12010310566955042,0.06306717730086471,0.23760586365032807,3.29,84.97000122070312,523672000.0,3616654000.0,4360187000.0,8303400000.0,3174617000.0,,405732600.0
AKAM,AKAM,AKAM,USA,2021,2021-12-31,Technology,Software - Infrastructure,United States,0.682,19016659348.754883,162480000.0,29.187032647263678,0.143849886556642,0.08006735250328893,0.15033855040302802,4.01,117.04000091552734,651642000.0,3461223000.0,4530014000.0,8138673000.0,2858937000.0,,377856200.0
ALB,ALB,ALB,USA,2024,2024-12-31,Basic Materials,Specialty Chemicals,United States,1.431,9942084922.027588,117540000.0,-7.552204813276019,-0.11840054080116512,-0.07100986902251817,0.36367412151038225,-11.2,84.5846939086914,-1179449000.0,5377526000.0,9961517000.0,16609649000.0,3615679000.0,1.61,712149700.0
ALB,ALB,ALB,USA,2023,2023-12-31,Basic Materials,Specialty Chemicals,United States,1.431,16679634946.731567,117353000.0,10.598967663838204,0.16717444842746315,0.08612040774461689,0.256626959383111,13.41,142.1321563720703,1573476000.0,9617203000.0,9412180000.0,18270652000.0,4280444000.0,1.6,562496500.0
ALB,ALB,ALB,USA,2022,2022-12-31,Basic Materials,Specialty Chemicals,United States,1.431,24105659840.33203,117153000.0,8.957867088865912,0.336958748041215,0.17402466091660207,0.13757636264539275,22.97,205.76220703125,2689816000.0,7320104000.0,7982627000.0,15456522000.0,3316369000.0,1.58,329325700.0
ALB,ALB,ALB,USA,2021,2021-12-31,Basic Materials,Specialty Chemicals,United States,1.431,26061376765.13672,116976000.0,208.21729998722253,0.02198509368268096,0.011269425023496194,0.09674224131446317,1.07,222.79251098632812,123672000.0,3327957000.0,5625266000.0,10974118000.0,2521236000.0,1.56,333086600.0
ALGN,ALGN,ALGN,USA,2024,2024-12-31,Healthcare,Medical Instruments & Supplies,United States,1.859,15565918304.958252,74653104.0,37.035523002990395,0.10938827643409826,0.06780195024619444,0.007662702428677555,5.63,208.50999450683594,421362000.0,3999012000.0,3851985000.0,6214600000.0,119277000.0,,194736100.0
ALGN,ALGN,ALGN,USA,2023,2023-12-31,Healthcare,Medical Instruments & Supplies,United States,1.859,20596342876.098145,76589104.0,46.20618787418116,0.12258761836215452,0.07315285959923253,0.006147644791199321,5.82,268.9200134277344,445053000.0,3862260000.0,3630489000.0,6083877000.0,126619000.0,,232269800.0
ALGN,ALGN,ALGN,USA,2022,2022-12-31,Healthcare,Medical Instruments & Supplies,United States,1.859,16581700176.64795,78112400.0,45.94805168383049,0.10039907168351495,0.060789546376253854,0.007653497448875892,4.62,212.27999877929688,361573000.0,3734635000.0,3601358000.0,5947947000.0,126908000.0,,248098500.0
