Ticker,YahooTicker,Nom,Zone,Sector,Industry,Country,Beta,MarketCapitalization,SharesOutstanding,AnneeFiscale,DateRapport,NetIncome,TotalRevenue,TotalEquity,TotalAssets,TotalDebt,EPS,EOD_Close_Price,ROE_calcule,ROA_calcule,DebtToEquity_calcule,PER_calcule,Dividendes_Annuels,Annual_Volume_Traded
AIZ,AIZ,AIZ,USA,Financial Services,Insurance - Property & Casualty,United States,0.573,8298734830.834961,57047800.0,2021,2021-12-31,1361800000.0,10187600000.0,5464100000.0,33920600000.0,2202500000.0,10.29,145.4698486328125,0.24922677110594607,0.040146695518357575,0.2654019010001793,14.137011528941935,2.66,96294700
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,70291180144.55469,249803008.0,2024,2024-12-31,1462700000.0,11554900000.0,20153500000.0,64255200000.0,13485200000.0,6.6335,281.3864440917969,0.07257796412533803,0.02276391638342111,0.19184768234460595,42.41900114446324,2.4,257442700
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,47734264952.09033,215911008.0,2023,2023-12-31,969500000.0,10071900000.0,10775300000.0,51615800000.0,8317200000.0,4.510687,221.0830535888672,0.08997429305912596,0.018783008303658956,0.17423961609857744,49.0131666393317,2.2,214327500
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,38396445719.60449,210840000.0,2022,2022-12-31,1114200000.0,8550600000.0,9143600000.0,38358400000.0,6415100000.0,5.297365,182.1117706298828,0.12185572422240692,0.02904709268374072,0.16707536022597458,34.37780304545426,2.04,232628900
AJG,AJG,AJG,USA,Financial Services,Insurance Brokers,United States,0.688,33801552424.743652,207278000.0,2021,2021-12-31,906800000.0,8209400000.0,8508400000.0,33345000000.0,6592900000.0,4.474026,163.07351684570312,0.10657702975882657,0.027194481931324038,0.1950472545507649,36.448942595707564,1.92,250127800
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,14369213544.428223,150227008.0,2024,2024-12-31,504918000.0,3991168000.0,4878357000.0,10368785000.0,4634605000.0,3.34,95.6500015258789,0.10350165024822906,0.04869596582434683,0.322537137169703,28.637725007748177,,418231500
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,17629243745.72754,150832000.0,2023,2023-12-31,547629000.0,3811920000.0,4597155000.0,9900037000.0,4535979000.0,3.59,116.87999725341797,0.11912345787775265,0.05531585387004109,0.25729855831730153,32.557102299002224,,389832300
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,13360852931.9458,157242000.0,2022,2022-12-31,523672000.0,3616654000.0,4360187000.0,8303400000.0,3174617000.0,3.29,84.97000122070312,0.12010310566955042,0.06306717730086471,0.23760586365032807,25.826748091399125,,405732600
AKAM,AKAM,AKAM,USA,Technology,Software - Infrastructure,United States,0.682,19016659348.754883,162480000.0,2021,2021-12-31,651642000.0,3461223000.0,4530014000.0,8138673000.0,2858937000.0,4.01,117.04000091552734,0.143849886556642,0.08006735250328893,0.15033855040302802,29.187032647263678,,377856200
ALB,ALB,ALB,USA,Basic Materials,Specialty Chemicals,United States,1.431,9912168143.920898,117540000.0,2024,2024-12-31,-1179449000.0,5377526000.0,9961517000.0,16609649000.0,3615679000.0,-11.2,84.33016967773438,-0.11840054080116512,-0.07100986902251817,0.36477175805552536,-7.529479435511998,1.61,712149700
